streamer,nickname,class,level,experience,popularity
여백,사제여백,마법사 / 비숍,242,98220468904,3
피닉스박,박종우123,에반 / 에반,239,50835134240,66
김뿡,진우입술츄릅,레지스탕스 / 배틀메이지,239,48178454603,9
김펭귄,망치왕김승민,전사 / 팔라딘,239,556829279,13
김진우,로아수호대,칼리 / 칼리,233,61368669405,8
삼식,도적삼식,도적 / 섀도어,233,37539178980,52
탬탬버린,라라점례,라라 / 라라,230,73635476868,103
다주,핫다주,마법사 / 비숍,230,24713900980,72
이초홍,뻑뻑초,엔젤릭버스터 / 엔젤릭버스터,230,21338565811,26
마뫄,긴마뫄,기사단 / 윈드브레이커,230,3395491358,27
따효니,신궁을뒤집다,궁수 / 신궁,221,18119339894,20
스나랑,반갑나랑,카인 / 카인,215,8211432846,3
한동숙,으뜸기사,기사단 / 미하일,215,6987478281,52
