,뜨겁초,박종우123,도적삼식,핫다주,DEX중독,으뜸기사
23-08-16,269.51,269.24,265.32,264.67,261.99,261.47
23-08-17,269.94,269.5,265.59,265.02,261.99,261.64
23-08-18,270.15,269.65,265.68,265.27,261.99,261.82
23-08-19,270.45,269.65,265.84,265.51,262.56,262.02
23-08-20,270.71,269.65,266.15,265.96,263.68,262.1
23-08-21,270.81,270.0,266.44,266.22,264.91,262.16
23-08-22,270.93,270.16,266.51,266.33,265.07,262.84
23-08-23,271.11,270.3,267.06,266.74,265.07,262.84
23-08-24,271.32,270.35,267.06,266.87,265.07,262.84
23-08-25,271.61,270.35,267.06,267.03,265.07,263.34
23-08-26,271.97,270.66,267.06,267.03,265.32,263.43
23-08-27,272.21,270.87,267.06,267.13,265.32,263.62
23-08-28,272.54,271.01,267.57,267.21,265.46,263.87
23-08-29,272.62,271.08,267.64,267.83,266.33,264.0
