,뜨겁초,박종우123,도적삼식,핫다주,DEX중독,으뜸기사
23-08-16,7796,6400,4717,4200,8462,8461
23-08-17,7836,6400,4874,4724,8462,8461
23-08-18,7898,6400,4874,4741,8462,8461
23-08-19,7944,6400,5032,5023,8463,8462
23-08-20,7944,6400,5333,5790,8464,8462
23-08-21,8005,6417,5500,6002,8465,8462
23-08-22,8023,6429,5500,6074,8466,8462
23-08-23,8122,6631,5535,6074,8466,8462
23-08-24,8144,6631,5535,6098,8466,8462
23-08-25,8262,6631,5535,6099,8466,8463
23-08-26,8263,6631,5535,6099,8466,8463
23-08-27,8303,6678,5535,6117,8466,8463
23-08-28,8303,6694,5694,6117,8466,8463
23-08-29,8303,6694,5694,6134,8467,8464
